,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA,BRK-A,FB,V,UNH
2017-11-01,40.89085006713867,79.44277954101562,1176.75,1036.1700439453125,61.77000045776367,49.683170318603516,291500.0,177.17999267578125,109.40531921386719,214.06277465820312
2017-12-01,40.41218566894531,81.14132690429688,1169.469970703125,1053.4000244140625,62.27000045776367,47.93170928955078,297600.0,176.4600067138672,110.99117279052734,207.52781677246094
2018-01-01,39.98234176635742,90.12435150146484,1450.8900146484375,1182.219970703125,70.86199951171875,60.88689422607422,323375.0,186.88999938964844,120.92996978759766,222.8904571533203
2018-02-01,42.535118103027344,88.94811248779297,1512.449951171875,1103.9200439453125,68.61199951171875,59.945594787597656,310250.0,178.32000732421875,119.67424774169922,212.8933868408203
2018-03-01,40.229286193847656,86.98336029052734,1447.3399658203125,1037.1400146484375,53.22600173950195,57.40259552001953,299100.0,159.7899932861328,116.64514923095703,201.44671630859375
2018-04-01,39.62504959106445,89.127685546875,1566.1300048828125,1018.5800170898438,58.779998779296875,55.74439239501953,290650.0,172.0,123.72459411621094,223.26951599121094
2018-05-01,44.80656051635742,94.19782257080078,1629.6199951171875,1100.0,56.94599914550781,62.508567810058594,287200.0,191.77999877929688,127.4690933227539,228.09567260742188
2018-06-01,44.55571365356445,94.3859634399414,1699.800048828125,1129.18994140625,68.58999633789062,58.755062103271484,282040.0,194.32000732421875,129.36361694335938,231.7129364013672
2018-07-01,45.80253219604492,101.53600311279297,1777.43994140625,1227.219970703125,59.62799835205078,60.72926712036133,301550.0,172.5800018310547,133.55364990234375,240.00123596191406
2018-08-01,54.790225982666016,107.51826477050781,2012.7099609375,1231.800048828125,60.332000732421875,69.61322021484375,315800.0,175.72999572753906,143.4671173095703,254.44566345214844
2018-09-01,54.52586364746094,109.89215850830078,2003.0,1207.0799560546875,52.95399856567383,69.73564910888672,320000.0,164.4600067138672,146.8129425048828,252.1520233154297
2018-10-01,52.86404800415039,102.62813568115234,1598.010009765625,1090.5799560546875,67.46399688720703,52.317874908447266,307705.0,151.7899932861328,134.84019470214844,248.54263305664062
2018-11-01,43.13471221923828,106.54841613769531,1690.1700439453125,1109.6500244140625,70.09600067138672,40.55546569824219,326000.0,140.61000061035156,138.61590576171875,267.572021484375
2018-12-01,38.23388671875,98.01492309570312,1501.969970703125,1044.9599609375,66.55999755859375,33.161434173583984,306000.0,131.08999633789062,129.29090881347656,237.66897583007812
2019-01-01,40.3426513671875,100.7748031616211,1718.72998046875,1125.8900146484375,61.40399932861328,35.70753860473633,311500.0,166.69000244140625,132.29928588867188,257.7799987792969
2019-02-01,41.969058990478516,108.10879516601562,1639.8299560546875,1126.550048828125,63.97600173950195,38.3182258605957,302200.0,161.4499969482422,145.1460723876953,231.08615112304688
2019-03-01,46.23859405517578,114.2979965209961,1780.75,1176.8900146484375,55.97200012207031,44.64871597290039,301215.0,166.69000244140625,153.32115173339844,235.8944854736328
2019-04-01,48.84810256958008,126.56707763671875,1926.52001953125,1198.9599609375,47.737998962402344,45.00679016113281,325080.0,193.39999389648438,161.4098358154297,223.2053985595703
2019-05-01,42.616432189941406,119.86072540283203,1775.0699462890625,1106.5,37.03200149536133,33.68297576904297,297060.0,177.47000122070312,158.36679077148438,231.56594848632812
2019-06-01,48.364227294921875,130.3038787841797,1893.6300048828125,1082.800048828125,44.69200134277344,40.883426666259766,318350.0,193.0,170.62432861328125,233.68238830566406
2019-07-01,52.05898666381836,132.55081176757812,1866.780029296875,1218.199951171875,48.321998596191406,42.00116729736328,308666.0,194.22999572753906,174.99929809570312,239.52682495117188
2019-08-01,51.00822830200195,134.097412109375,1776.2900390625,1190.530029296875,45.12200164794922,41.699947357177734,303078.0,185.6699981689453,177.7718048095703,225.0884552001953
2019-09-01,54.93781280517578,135.68580627441406,1735.9100341796875,1221.1400146484375,48.17399978637695,43.37589645385742,311832.0,178.0800018310547,169.35430908203125,209.04371643066406
2019-10-01,61.018577575683594,139.9214324951172,1776.6600341796875,1258.800048828125,62.98400115966797,50.09146499633789,318939.0,191.64999389648438,176.09857177734375,244.2225799560547
2019-11-01,65.55401611328125,147.73876953125,1800.800048828125,1304.0899658203125,65.98799896240234,54.00868225097656,330495.0,201.63999938964844,181.66131591796875,270.4811096191406
2019-12-01,72.2459487915039,154.430419921875,1847.8399658203125,1339.3900146484375,83.66600036621094,58.67684555053711,339590.0,205.25,185.308837890625,284.11773681640625
2020-01-01,76.1479263305664,166.70062255859375,2008.719970703125,1432.780029296875,130.11399841308594,58.9586296081543,335996.0,201.91000366210938,196.2261962890625,264.32232666015625
2020-02-01,67.2540512084961,158.65106201171875,1883.75,1339.25,133.59800720214844,67.34745788574219,309096.0,192.47000122070312,179.25350952148438,247.3540802001953
2020-03-01,62.71078109741211,154.86204528808594,1949.719970703125,1161.949951171875,104.80000305175781,65.7733383178711,272000.0,166.8000030517578,159.12828063964844,241.94053649902344
2020-04-01,72.45439147949219,175.97381591796875,2474.0,1346.699951171875,156.37600708007812,72.92955780029297,281700.0,204.7100067138672,176.51071166992188,284.97418212890625
2020-05-01,78.4075927734375,179.9408416748047,2442.3701171875,1433.52001953125,167.0,88.58441162109375,278640.0,225.08999633789062,192.8264923095703,297.0368957519531
2020-06-01,90.20732116699219,200.39154052734375,2758.820068359375,1418.050048828125,215.96200561523438,94.79496002197266,267300.0,227.07000732421875,191.1015167236328,287.390625
2020-07-01,105.10340881347656,201.86856079101562,3164.679931640625,1487.949951171875,286.1520080566406,105.99183654785156,293631.0,253.6699981689453,188.3612060546875,296.2905578613281
2020-08-01,127.63544464111328,222.0740966796875,3450.9599609375,1629.530029296875,498.32000732421875,133.5488739013672,327560.0,293.20001220703125,209.72000122070312,305.8511657714844
2020-09-01,114.75598907470703,207.607666015625,3148.72998046875,1465.5999755859375,429.010009765625,135.10658264160156,320001.0,261.8999938964844,198.12779235839844,305.0878601074219
2020-10-01,107.8692398071289,199.8494110107422,3036.14990234375,1616.1099853515625,388.0400085449219,125.19363403320312,302500.0,263.1099853515625,180.0360107421875,299.83038330078125
2020-11-01,117.96649932861328,211.29930114746094,3168.0400390625,1754.4000244140625,567.5999755859375,133.85850524902344,343688.0,276.9700012207031,208.4121551513672,330.4874572753906
2020-12-01,131.70919799804688,220.115966796875,3256.929931640625,1752.6400146484375,705.6699829101562,130.39756774902344,347815.0,273.1600036621094,217.04148864746094,344.5779113769531
2021-01-01,130.98460388183594,229.5571746826172,3206.199951171875,1827.3599853515625,793.530029296875,129.78416442871094,344100.0,258.3299865722656,191.75820922851562,328.9547424316406
2021-02-01,120.36369323730469,229.97279357910156,3092.929931640625,2021.9100341796875,675.5,137.0253143310547,364580.0,257.6199951171875,210.75042724609375,327.6136779785156
2021-03-01,121.42828369140625,233.8650665283203,3094.080078125,2062.52001953125,667.9299926757812,133.36602783203125,385702.0,294.5299987792969,210.4217071533203,366.9111328125
2021-04-01,130.68328857421875,250.14248657226562,3467.419921875,2353.5,709.4400024414062,150.0157928466797,412500.0,325.0799865722656,232.11680603027344,394.6676330566406
2021-05-01,123.8737564086914,247.66265869140625,3223.070068359375,2356.85009765625,625.219970703125,162.35926818847656,436000.0,328.7300109863281,225.89549255371094,407.6517028808594
2021-06-01,136.38204956054688,269.3316955566406,3440.159912109375,2441.7900390625,679.7000122070312,199.91943359375,418601.0,347.7099914550781,232.71273803710938,396.2906799316406
2021-07-01,145.24449157714844,283.2606201171875,3327.590087890625,2694.530029296875,687.2000122070312,194.9317626953125,418900.0,356.29998779296875,245.2232208251953,409.4427185058594
2021-08-01,151.18930053710938,300.13238525390625,3470.7900390625,2893.949951171875,735.719970703125,223.7831268310547,429900.0,379.3800048828125,228.0150909423828,413.4654235839844
2021-09-01,141.11399841308594,280.82452392578125,3285.0400390625,2673.52001953125,775.47998046875,207.1346435546875,411379.0,339.3900146484375,221.99737548828125,388.1074523925781
2021-10-01,149.391357421875,330.33135986328125,3372.429931640625,2960.919921875,1114.0,255.63870239257812,432902.0,323.57000732421875,211.0544891357422,458.9730224609375
2021-11-01,164.84909057617188,329.3053894042969,3507.070068359375,2837.949951171875,1144.760009765625,326.7200012207031,416876.0,324.4599914550781,193.1153106689453,442.7758483886719
2021-12-01,177.34405517578125,335.62603759765625,3334.340087890625,2897.0400390625,1056.780029296875,294.073974609375,450662.0,336.3500061035156,216.35800170898438,500.507568359375
